Hospital Name,Address,City,State,ZIP Code,County Name,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating
KAISER FOUNDATION HOSPITAL - FRESNO,7300 NORTH FRESNO ST,FRESNO,CA,93720,FRESNO,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,Acute Care Hospitals,Proprietary,True,3.0
ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,ANCHORAGE,Acute Care Hospitals,Government - Federal,True,2.0
LORETTO HOSPITAL,645 SOUTH CENTRAL AVE,CHICAGO,IL,60644,COOK,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,2800 EAST AJO WAY,TUCSON,AZ,85713,PIMA,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
DREW MEMORIAL HOSPITAL,778 SCOGIN DRIVE,MONTICELLO,AR,71655,DREW,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
MEDICAL CENTER OF THE ROCKIES,2500 ROCKY MOUNTAIN AVENUE,LOVELAND,CO,80538,LARIMER,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Acute Care Hospitals,Government - State,True,3.0
HENDRY REGIONAL MEDICAL CENTER,524 W SAGAMORE AVE,CLEWISTON,FL,33440,HENDRY,Critical Access Hospitals,Voluntary non-profit - Other,True,3.0
CHARLOTTE HUNGERFORD HOSPITAL,540 LITCHFIELD ST,TORRINGTON,CT,6790,LITCHFIELD,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
SEBASTIAN RIVER MEDICAL CENTER,13695 US HWY 1,SEBASTIAN,FL,32978,INDIAN RIVER,Acute Care Hospitals,Proprietary,True,3.0
NATIVIDAD MEDICAL CENTER,1441 CONSTITUTION BOULEVARD,SALINAS,CA,93906,MONTEREY,Acute Care Hospitals,Government - Hospital District or Authority,True,3.0
ST MARYS  MEDICAL CENTER,2635 N 7TH STREET,GRAND JUNCTION,CO,81502,MESA,Acute Care Hospitals,Voluntary non-profit - Church,True,3.0
"FLORENCE HOSPITAL AT ANTHEM, LLC",4545 NORTH HUNT HIGHWAY,FLORENCE,AZ,85132,PINAL,Acute Care Hospitals,Proprietary,True,3.0
GARDEN GROVE HOSPITAL & MEDICAL CENTER,12601 GARDEN GROVE BLVD,GARDEN GROVE,CA,92843,ORANGE,Acute Care Hospitals,Proprietary,True,3.0
ST JOSEPH'S HOSPITAL - SAVANNAH,11705 MERCY BOULEVARD,SAVANNAH,GA,31419,CHATHAM,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
SHARP CORONADO HOSPITAL AND HLTHCR CTR,250 PROSPECT PLACE,CORONADO,CA,92118,SAN DIEGO,Acute Care Hospitals,Voluntary non-profit - Other,True,4.0
BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,MONTGOMERY,Acute Care Hospitals,Government - Hospital District or Authority,True,5.0
COMMUNITY HOSPITAL OF LONG BEACH,1720 TERMINO AVENUE,LONG BEACH,CA,90804,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
HOAG ORTHOPEDIC INSTITUTE,16250 SAND CANYON AVENUE,IRVINE,CA,92618,ORANGE,Acute Care Hospitals,Proprietary,False,5.0
SAN MATEO MEDICAL CENTER,222 W 39TH AVE,SAN MATEO,CA,94403,SAN MATEO,Acute Care Hospitals,Government - Local,True,3.0
BROWARD HEALTH CORAL SPRINGS,3000 CORAL HILLS DR,CORAL SPRINGS,FL,33065,BROWARD,Acute Care Hospitals,Government - Hospital District or Authority,True,2.0
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,275 W MACARTHUR BOULEVARD,OAKLAND,CA,94611,ALAMEDA,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
HALIFAX HEALTH MEDICAL CENTER,303 N CLYDE MORRIS BLVD,DAYTONA BEACH,FL,32114,VOLUSIA,Acute Care Hospitals,Government - Hospital District or Authority,True,2.0
COBRE VALLEY REGIONAL MEDICAL CENTER,5880 SOUTH HOSPITAL DRIVE,GLOBE,AZ,85501,GILA,Critical Access Hospitals,Voluntary non-profit - Private,True,3.0
TALLAHASSEE MEMORIAL HOSPITAL,1300 MICCOSUKEE RD,TALLAHASSEE,FL,32308,LEON,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,AZ,85206,MARICOPA,Acute Care Hospitals,Voluntary non-profit - Private,False,4.0
FLORIDA HOSPITAL FISH MEMORIAL,1055 SAXON BLVD,ORANGE CITY,FL,32763,VOLUSIA,Acute Care Hospitals,Voluntary non-profit - Church,True,2.0
PARKER ADVENTIST HOSPITAL,9395 CROWN CREST BLVD,PARKER,CO,80138,DOUGLAS,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
LOS ROBLES HOSPITAL & MEDICAL CENTER,215 W JANSS RD,THOUSAND OAKS,CA,91360,VENTURA,Acute Care Hospitals,Proprietary,True,3.0
CHI ST. VINCENT HOSPITAL HOT SPRINGS,300 WERNER STREET,HOT SPRINGS,AR,71903,GARLAND,Acute Care Hospitals,Voluntary non-profit - Church,True,2.0
GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM,13681 DOCTORS WAY,FORT MYERS,FL,33912,LEE,Acute Care Hospitals,Government - Hospital District or Authority,True,2.0
COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,PIKE,Acute Care Hospitals,Government - Federal,True,3.0
KAWEAH DELTA MEDICAL CENTER,400 W MINERAL KING AVE,VISALIA,CA,93291,TULARE,Acute Care Hospitals,Government - Hospital District or Authority,True,4.0
UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,2315 STOCKTON BOULEVARD,SACRAMENTO,CA,95817,SACRAMENTO,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING JR DRIVE,HELENA,AR,72342,PHILLIPS,Acute Care Hospitals,Proprietary,True,2.0
CENTINELA HOSPITAL MEDICAL CENTER,555 EAST HARDY STREET,INGLEWOOD,CA,90301,LOS ANGELES,Acute Care Hospitals,Proprietary,True,4.0
SHASTA REGIONAL MEDICAL CENTER,1100 BUTTE ST,REDDING,CA,96001,SHASTA,Acute Care Hospitals,Proprietary,True,4.0
BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,MARICOPA,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
JOHN C. LINCOLN MEDICAL CENTER,250 EAST DUNLAP AVENUE,PHOENIX,AZ,85020,MARICOPA,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
ST VINCENT'S MEDICAL CENTER RIVERSIDE,1 SHIRCLIFF WAY,JACKSONVILLE,FL,32204,DUVAL,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
BANNER PAYSON MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,PAYSON,AZ,85541,GILA,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
DORMINY MEDICAL CENTER,"200 PERRY HOUSE ROAD, BOX 1447",FITZGERALD,GA,31750,BEN HILL,Acute Care Hospitals,Government - Hospital District or Authority,True,3.0
CHI HEALTH MISSOURI VALLEY,631 N 8TH ST,MISSOURI VALLEY,IA,51555,HARRISON,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,354 SANTA FE DRIVE,ENCINITAS,CA,92024,SAN DIEGO,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
JAY HOSPITAL,14114 ALABAMA ST,JAY,FL,32565,SANTA ROSA,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
VIERA HOSPITAL,8745 N WICKHAM RD,MELBOURNE,FL,32940,BREVARD,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
BAKERSFIELD HEART HOSPITAL,3001 SILLECT AVENUE,BAKERSFIELD,CA,93308,KERN,Acute Care Hospitals,Proprietary,True,2.0
ST JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 N CALIFORNIA ST,STOCKTON,CA,95204,SAN JOAQUIN,Acute Care Hospitals,Voluntary non-profit - Church,True,2.0
JUPITER MEDICAL CENTER,1210 S OLD DIXIE HWY,JUPITER,FL,33458,PALM BEACH,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
MID COAST HOSPITAL,123 MEDICAL CENTER DRIVE,BRUNSWICK,ME,4011,CUMBERLAND,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
LAC+USC MEDICAL CENTER,"1200 N STATE ST, ROOM C2K100",LOS ANGELES,CA,90033,LOS ANGELES,Acute Care Hospitals,Government - Local,True,2.0
SUTTER SOLANO MEDICAL CENTER,300 HOSPITAL DR,VALLEJO,CA,94589,SOLANO,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
STEWART MEMORIAL COMMUNITY HOSPITAL,1301 WEST MAIN STREET,LAKE CITY,IA,51449,CALHOUN,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
YALE-NEW HAVEN HOSPITAL,20 YORK ST,NEW HAVEN,CT,6504,NEW HAVEN,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
CENTURA HEALTH-ST THOMAS MORE HOSPITAL,1338 PHAY AVE,CANON CITY,CO,81212,FREMONT,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
PALO VERDE HOSPITAL,250 NORTH FIRST STREET,BLYTHE,CA,92225,RIVERSIDE,Acute Care Hospitals,Government - Federal,True,2.0
O'CONNOR HOSPITAL,2105 FOREST AVENUE,SAN JOSE,CA,95128,SANTA CLARA,Acute Care Hospitals,Voluntary non-profit - Church,True,2.0
OAK VALLEY HOSPITAL DISTRICT,350 S OAK AVE,OAKDALE,CA,95361,STANISLAUS,Acute Care Hospitals,Government - Hospital District or Authority,True,2.0
CENTRAL FLORIDA REGIONAL HOSPITAL,1401 W SEMINOLE BLVD,SANFORD,FL,32771,SEMINOLE,Acute Care Hospitals,Proprietary,True,2.0
LARGO MEDICAL CENTER,201 14TH ST SW,LARGO,FL,33770,PINELLAS,Acute Care Hospitals,Proprietary,True,2.0
NORTH SHORE MEDICAL CENTER,1100 NW 95TH ST,MIAMI,FL,33150,MIAMI-DADE,Acute Care Hospitals,Proprietary,True,1.0
SOUTH COAST GLOBAL MEDICAL CENTER,2701 S BRISTOL ST,SANTA ANA,CA,92704,ORANGE,Acute Care Hospitals,Proprietary,True,2.0
ABRAZO WEST CAMPUS,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395,MARICOPA,Acute Care Hospitals,Proprietary,True,2.0
WELLSTAR NORTH FULTON HOSPITAL,3000 HOSPITAL BOULEVARD,ROSWELL,GA,30076,FULTON,Acute Care Hospitals,Proprietary,True,2.0
FORREST CITY MEDICAL CENTER,1601 NEWCASTLE ROAD,FORREST CITY,AR,72335,SAINT FRANCIS,Acute Care Hospitals,Proprietary,True,2.0
ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,ELMORE,Acute Care Hospitals,Government - State,True,3.0
ANTELOPE VALLEY HOSPITAL,1600 W AVE J,LANCASTER,CA,93534,LOS ANGELES,Acute Care Hospitals,Government - Hospital District or Authority,True,1.0
PARKVIEW MEDICAL CENTER INC,400 W 16TH STREET,PUEBLO,CO,81003,PUEBLO,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
KEOKUK AREA HOSPITAL,1600 MORGAN STREET,KEOKUK,IA,52632,LEE,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
HENDRICKS REGIONAL HEALTH,1000 E MAIN ST,DANVILLE,IN,46122,HENDRICKS,Acute Care Hospitals,Government - Local,True,4.0
SABINE MEDICAL CENTER,240 HIGHLAND DRIVE,MANY,LA,71449,SABINE,Acute Care Hospitals,Proprietary,True,2.0
CUMBERLAND COUNTY HOSPITAL,299 GLASGOW ROAD,BURKESVILLE,KY,42717,CUMBERLAND,Critical Access Hospitals,Voluntary non-profit - Other,True,3.0
OAKDALE COMMUNITY HOSPITAL,130 N HOSPITAL DR,OAKDALE,LA,71463,ALLEN,Acute Care Hospitals,Proprietary,True,3.0
SPENCER MUNICIPAL HOSPITAL,1200 1ST AVENUE EAST,SPENCER,IA,51301,CLAY,Acute Care Hospitals,Government - Local,True,4.0
LAKE AREA MEDICAL CENTER,4200 NELSON ROAD,LAKE CHARLES,LA,70605,CALCASIEU,Acute Care Hospitals,Proprietary,True,3.0
FRANCISCAN ST MARGARET HEALTH - DYER,24 JOLIET ST,DYER,IN,46311,LAKE,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
CARLINVILLE AREA HOSPITAL,20733 N BROAD STREET,CARLINVILLE,IL,62626,MACOUPIN,Critical Access Hospitals,Voluntary non-profit - Private,True,3.0
INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL,410 PILGRIM BLVD,HARTFORD CITY,IN,47348,BLACKFORD,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,GA,30309,FULTON,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
EAST GEORGIA REGIONAL MEDICAL CENTER,1499 FAIR ROAD,STATESBORO,GA,30458,BULLOCH,Acute Care Hospitals,Proprietary,True,2.0
"CALDWELL MEMORIAL HOSPITAL, INC",411 MAIN STREET,COLUMBIA,LA,71418,CALDWELL,Acute Care Hospitals,Proprietary,False,4.0
PRESENCE ST MARYS HOSPITAL,500 W COURT ST,KANKAKEE,IL,60901,KANKAKEE,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS,8111 S EMERSON AVE,INDIANAPOLIS,IN,46237,MARION,Acute Care Hospitals,Voluntary non-profit - Church,True,4.0
LOYOLA GOTTLIEB MEMORIAL HOSPITAL,701 WEST NORTH AVE,MELROSE PARK,IL,60160,COOK,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
HENRY COUNTY HEALTH CENTER,407 S WHITE ST,MOUNT PLEASANT,IA,52641,HENRY,Critical Access Hospitals,Government - Local,True,3.0
SAINT JAMES HOSPITAL,2500 WEST REYNOLDS STREET,PONTIAC,IL,61764,LIVINGSTON,Acute Care Hospitals,Voluntary non-profit - Church,True,4.0
ABRAHAM LINCOLN MEMORIAL HOSPITAL,200 STAHLHUT DRIVE,LINCOLN,IL,62656,LOGAN,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
MOUNTAIN VIEW HOSPITAL,2325 CORONADO STREET,IDAHO FALLS,ID,83404,BONNEVILLE,Acute Care Hospitals,Proprietary,True,4.0
LAKE CUMBERLAND REGIONAL HOSPITAL,305 LANGDON STREET,SOMERSET,KY,42502,PULASKI,Acute Care Hospitals,Proprietary,True,2.0
ADVENTIST BOLINGBROOK HOSPITAL,500 REMINGTON BOULEVARD,BOLINGBROOK,IL,60440,WILL,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
HERRIN HOSPITAL,201 S 14TH ST,HERRIN,IL,62948,WILLIAMSON,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
FRANCISCAN ST FRANCIS HEALTH - MOORESVILLE,1201 HADLEY RD,MOORESVILLE,IN,46158,MORGAN,Acute Care Hospitals,Voluntary non-profit - Church,True,5.0
"PIEDMONT NEWNAN HOSPITAL, INC",745 POPLAR ROAD,NEWNAN,GA,30265,COWETA,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
CARY MEDICAL CENTER,"163 VAN BUREN RD, SUITE 1",CARIBOU,ME,4736,AROOSTOOK,Acute Care Hospitals,Government - Local,True,3.0
MEMORIAL HOSPITAL AND HEALTH CARE CENTER,800 W 9TH ST,JASPER,IN,47546,DUBOIS,Acute Care Hospitals,Voluntary non-profit - Church,True,5.0
MAINEGENERAL MEDICAL CENTER,35 MEDICAL CENTER PARKWAY,AUGUSTA,ME,4330,KENNEBEC,Acute Care Hospitals,Voluntary non-profit - Other,True,4.0
LAKES REGIONAL HEALTHCARE,2301 HIGHWAY 71,SPIRIT LAKE,IA,51360,DICKINSON,Acute Care Hospitals,Voluntary non-profit - Other,True,4.0
FRANKLIN FOUNDATION HOSPITAL,1097 NORTHWEST BLVD,FRANKLIN,LA,70538,SAINT MARY,Critical Access Hospitals,Government - Hospital District or Authority,True,3.0
WESTLAKE COMMUNITY HOSPITAL,1225 LAKE ST,MELROSE PARK,IL,60160,COOK,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
MILFORD REGIONAL MEDICAL CENTER,14 PROSPECT STREET,MILFORD,MA,1757,WORCESTER,Acute Care Hospitals,Voluntary non-profit - Other,True,3.0
CASSIA REGIONAL MEDICAL CENTER,1501 HILAND AVENUE,BURLEY,ID,83318,CASSIA,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
MASSAC MEMORIAL HOSPITAL,"28 CHICK STREET, PO BOX 850",METROPOLIS,IL,62960,MASSAC,Critical Access Hospitals,Government - Hospital District or Authority,True,4.0
MORTON COUNTY HOSPITAL,445 N HILLTOP,ELKHART,KS,67950,MORTON,Acute Care Hospitals,Government - Local,True,3.0
TWIN LAKES REGIONAL MEDICAL CENTER,910 WALLACE AVENUE,LEITCHFIELD,KY,42754,GRAYSON,Acute Care Hospitals,Voluntary non-profit - Other,True,4.0
THE MEDICAL CENTER AT CAVERNA,1501 SOUTH DIXIE STREET,HORSE CAVE,KY,42749,HART,Critical Access Hospitals,Voluntary non-profit - Private,True,3.0
ALLEN HOSPITAL,1825 LOGAN AVENUE,WATERLOO,IA,50703,BLACK HAWK,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
ELKHART GENERAL HOSPITAL,600 E BLVD,ELKHART,IN,46514,ELKHART,Acute Care Hospitals,Government - Local,True,4.0
EVANS MEMORIAL HOSPITAL,200 N RIVER STREET,CLAXTON,GA,30417,EVANS,Acute Care Hospitals,Government - Hospital District or Authority,True,4.0
WILLIS KNIGHTON BOSSIER HEALTH CENTER,2400 HOSPITAL DR,BOSSIER CITY,LA,71111,BOSSIER,Acute Care Hospitals,Voluntary non-profit - Private,True,5.0
SAINT JOSEPH REGIONAL MEDICAL CENTER,5215 HOLY CROSS PKWY,MISHAWAKA,IN,46545,ST JOSEPH,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
GEORGETOWN COMMUNITY HOSPITAL,1140 LEXINGTON ROAD,GEORGETOWN,KY,40324,SCOTT,Acute Care Hospitals,Proprietary,True,3.0
COMMUNITY HOSPITAL EAST,1500 N RITTER AVE,INDIANAPOLIS,IN,46219,MARION,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
DUKES MEMORIAL HOSPITAL,275 W 12TH ST,PERU,IN,46970,MIAMI,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
ORANGE CITY AREA HEALTH SYSTEM,1000 LINCOLN CIRCLE SE,ORANGE CITY,IA,51041,SIOUX,Critical Access Hospitals,Voluntary non-profit - Other,True,4.0
ADVOCATE GOOD SAMARITAN HOSPITAL,3815 HIGHLAND AVENUE,DOWNERS GROVE,IL,60515,DUPAGE,Acute Care Hospitals,Voluntary non-profit - Church,True,4.0
EAST CARROLL PARISH HOSPITAL,336 NORTH HOOD STREET,LAKE PROVIDENCE,LA,71254,EAST CARROLL,Acute Care Hospitals,Government - Hospital District or Authority,True,3.0
FRANCISCAN ST MARGARET HEALTH - HAMMOND,5454 HOHMAN AVE,HAMMOND,IN,46320,LAKE,Acute Care Hospitals,Voluntary non-profit - Church,True,3.0
DEARBORN COUNTY HOSPITAL,600 WILSON CREEK RD,LAWRENCEBURG,IN,47025,DEARBORN,Acute Care Hospitals,Government - Local,True,3.0
MAINE MEDICAL CENTER,22 BRAMHALL ST,PORTLAND,ME,4102,CUMBERLAND,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
FHN MEMORIAL HOSPITAL,1045 WEST STEPHENSON STREET,FREEPORT,IL,61032,STEPHENSON,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
UNIVERSITY HOSPITAL MCDUFFIE,2460 WASHINGTON ROAD,THOMSON,GA,30824,MCDUFFIE,Acute Care Hospitals,Government - Hospital District or Authority,True,3.0
COMMUNITY HOSPITAL NORTH,7150 CLEARVISTA DR,INDIANAPOLIS,IN,46256,MARION,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
AVERA HOLY FAMILY HOSPITAL,826 NORTH 8TH STREET,ESTHERVILLE,IA,51334,EMMET,Critical Access Hospitals,Voluntary non-profit - Church,True,4.0
MEMORIAL HOSPITAL AND MANOR,1500 E SHOTWELL STREET,BAINBRIDGE,GA,39819,DECATUR,Acute Care Hospitals,Government - Hospital District or Authority,True,3.0
INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL,601 W SECOND ST,BLOOMINGTON,IN,47403,MONROE,Acute Care Hospitals,Voluntary non-profit - Private,True,4.0
JENNIE STUART MEDICAL CENTER,320 WEST 18TH STREET,HOPKINSVILLE,KY,42240,CHRISTIAN,Acute Care Hospitals,Voluntary non-profit - Private,True,2.0
LOGAN MEMORIAL HOSPITAL,1625 NASHVILLE STREET,RUSSELLVILLE,KY,42276,LOGAN,Acute Care Hospitals,Proprietary,True,3.0
PORTNEUF MEDICAL CENTER,777 HOSPITAL WAY,POCATELLO,ID,83201,BANNOCK,Acute Care Hospitals,Proprietary,True,4.0
SULLIVAN COUNTY COMMUNITY HOSPITAL,2200 N SECTION ST,SULLIVAN,IN,47882,SULLIVAN,Critical Access Hospitals,Government - Local,True,2.0
ST ELIZABETH HOSPITAL,1125 WEST HIGHWAY 30,GONZALES,LA,70737,ASCENSION,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
GIBSON COMMUNITY HOSPITAL,1120 N MELVIN STREET,GIBSON CITY,IL,60936,FORD,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
ST VINCENT CLAY HOSPITAL INC,1206 E NATIONAL AVE,BRAZIL,IN,47834,CLAY,Critical Access Hospitals,Voluntary non-profit - Private,True,3.0
MERCY MEDICAL CENTER-DES MOINES,1111 6TH AVE,DES MOINES,IA,50314,POLK,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,2115,SUFFOLK,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
MOUNT DESERT ISLAND HOSPITAL,"10 WAYMAN LANE, PO BOX 8",BAR HARBOR,ME,4609,HANCOCK,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT,3600 WEST CUMBERLAND AVENUE,MIDDLESBORO,KY,40965,BELL,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
HARDIN MEMORIAL HOSPITAL,913 NORTH DIXIE AVENUE,ELIZABETHTOWN,KY,42701,HARDIN,Acute Care Hospitals,Government - Local,True,4.0
BACON COUNTY HOSPITAL,302 SOUTH WAYNE STREET,ALMA,GA,31510,BACON,Critical Access Hospitals,Voluntary non-profit - Other,True,3.0
BAPTIST HEALTH MADISONVILLE,900 HOSPITAL DRIVE,MADISONVILLE,KY,42431,HOPKINS,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
THIBODAUX REGIONAL MEDICAL CENTER,602 N ACADIA ROAD,THIBODAUX,LA,70301,LAFOURCHE,Acute Care Hospitals,Government - Hospital District or Authority,True,4.0
OSF SAINT PAUL MEDICAL CENTER,1401 E 12TH STREET,MENDOTA,IL,61342,LA SALLE,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
THE MEDICAL CENTER AT ALBANY,723 BURKESVILLE ROAD,ALBANY,KY,42602,CLINTON,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
REGIONAL MEDICAL CENTER,709 W MAIN STREET,MANCHESTER,IA,52057,DELAWARE,Critical Access Hospitals,Proprietary,True,4.0
SOUTHERN MAINE HEALTH CARE,1 MEDICAL CENTER DRIVE,BIDDEFORD,ME,4005,YORK,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
SARAH D CULBERTSON MEMORIAL HOSPITAL,238 SOUTH CONGRESS STREET,RUSHVILLE,IL,62681,SCHUYLER,Critical Access Hospitals,Government - Hospital District or Authority,True,3.0
HANCOCK REGIONAL HOSPITAL,801 N STATE ST,GREENFIELD,IN,46140,HANCOCK,Acute Care Hospitals,Government - Local,True,3.0
OLATHE MEDICAL CENTER,20333 WEST 151ST STREET,OLATHE,KS,66061,JOHNSON,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
MYRTUE MEDICAL CENTER,1213 GARFIELD AVENUE,HARLAN,IA,51537,SHELBY,Critical Access Hospitals,Voluntary non-profit - Other,True,4.0
WEST VALLEY MEDICAL CENTER,1717 ARLINGTON STREET,CALDWELL,ID,83605,CANYON,Acute Care Hospitals,Proprietary,True,4.0
OPELOUSAS GENERAL HEALTH SYSTEM,539 EAST PRUDHOMME STREET,OPELOUSAS,LA,70570,SAINT LANDRY,Acute Care Hospitals,Government - Hospital District or Authority,True,3.0
KING'S DAUGHTERS' MEDICAL CENTER,2201 LEXINGTON AVENUE,ASHLAND,KY,41101,BOYD,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
WILLS MEMORIAL HOSPITAL,120 GORDON STREET,WASHINGTON,GA,30673,WILKES,Critical Access Hospitals,Government - Hospital District or Authority,True,3.0
LAFAYETTE SURGICAL SPECIALTY HOSPITAL,1101 KALISTE SALOOM RD,LAFAYETTE,LA,70508,LAFAYETTE,Acute Care Hospitals,Physician,False,4.0
SAINT JOHN HOSPITAL,3500 SOUTH 4TH STREET,LEAVENWORTH,KS,66048,LEAVENWORTH,Acute Care Hospitals,Voluntary non-profit - Other,True,4.0
FRANKFORT REGIONAL MEDICAL CENTER,299 KINGS DAUGHTERS DRIVE,FRANKFORT,KY,40601,FRANKLIN,Acute Care Hospitals,Proprietary,True,3.0
SAINT JOSEPH BEREA,305 ESTILL STREET,BEREA,KY,40403,MADISON,Critical Access Hospitals,Voluntary non-profit - Private,True,4.0
BAPTIST HEALTH LA GRANGE,1025 NEW MOODY LANE,LA GRANGE,KY,40031,OLDHAM,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL,4201 MEDICAL CENTER DRIVE,MCHENRY,IL,60050,MCHENRY,Acute Care Hospitals,Voluntary non-profit - Other,True,4.0
CARROLL COUNTY MEMORIAL HOSPITAL,309 ELEVENTH STREET,CARROLLTON,KY,41008,CARROLL,Critical Access Hospitals,Voluntary non-profit - Private,True,3.0
OWENSBORO HEALTH REGIONAL HOSPITAL,1201 PLEASANT VALLEY ROAD,OWENSBORO,KY,42303,DAVIESS,Acute Care Hospitals,Voluntary non-profit - Private,True,3.0
SOUTHEASTERN REGIONAL MEDICAL CENTER,600 CELEBRATE LIFE PARKWAY,NEWNAN,GA,30265,COWETA,Acute Care Hospitals,Proprietary,False,4.0
